prompt_id	language	text
AUD001	ko	안녕하세요. 오늘 음성 합성 품질을 확인하기 위한 기준 문장입니다.
AUD002	ko	지금부터 짧은 안내 문장을 자연스럽게 읽을 수 있는지 확인하겠습니다.
AUD003	ko	회의는 오후 세 시에 시작하며 장소는 본사 십일 층 대회의실입니다.
AUD004	ko	오늘 서울의 아침 기온은 영하 이 도에서 영상 삼 도 사이로 예상됩니다.
AUD005	ko	잠시 후 연결됩니다. 통화 품질 향상을 위해 주변 소음을 줄여 주세요.
AUD006	ko	사용자가 요청한 명령을 확인했고, 준비가 끝나는 대로 바로 실행하겠습니다.
AUD007	ko	이 모델은 숫자, 고유명사, 그리고 존댓말 표현을 얼마나 또렷하게 읽는지가 중요합니다.
AUD008	ko	배터리 잔량이 부족합니다. 충전기를 연결한 뒤 다시 시도해 주세요.
AUD009	ko	지금 들으시는 음성이 너무 빠르거나 느리다면 재생 속도를 다시 조정해야 합니다.
AUD010	ko	마지막으로 긴 문장을 하나 더 읽겠습니다. 사용성이 좋은 목소리는 또렷하면서도 과하게 힘주지 않고 편안하게 들려야 합니다.
