order	prompt_id	language	category
1	KO001	ko	short_response
2	KO010	ko	device_command
3	KO018	ko	number_unit
4	KO027	ko	customer_support
5	KO039	ko	explanatory
6	KO045	ko	honorific
7	KO053	ko	mixed_english
8	KO064	ko	punctuation_pause
9	KO069	ko	long_form
10	KO098	ko	quoted_speech
1	EN001	en	short_response
2	EN010	en	device_command
3	EN018	en	number_unit
4	EN027	en	customer_support
5	EN039	en	explanatory
6	EN045	en	polite_support
7	EN053	en	mixed_tech
8	EN064	en	punctuation_pause
9	EN069	en	long_form
10	EN098	en	quoted_speech
